Unit,SIO #,Topic,SIO Description,Flashcard Set,Front side,Back side (flipped),Overview columns,Letris / Notes,CEFR Mode,Can-Do (A1),Linguistic competence (measurable)
Unité 1,SIO-011,Stressed pronouns,"Match subject pronoun → stressed pronoun (moi, toi, lui, elle, nous, vous, eux, elles); use ___, je… frame; sort into subject-only / stressed-only / either",1.01,"8 flashcards

What stressed pronoun fits here:
__, je ... (As for me, I..)
__, tu... (As for you, you...)
__, il ... (As for him, he ...)
__, elle ... (As for her, she...
__, nous ... (As for us, we
__, vous... (As for you all, you ..
__, ils ... (As for them, they
__, elles ... (As for them, they ...","moi. toi, ...","1st column: the stressed pronoun,, 2nd column: the subject pronoun, 3rd column: then the English 
4th: notes",8 pronouns fall → 3 baskets: subject-only / stressed-only / either,Spoken Production,"I can identify any of the 8 stressed pronouns (moi, toi, lui, elle, nous, vous, eux, elles) by their position — after a preposition, after c'est, or standing alone (avec moi, c'est moi, moi !).","Match each of them to their 8 subject pronouns (je, tu, …) (≥7/8)."
Unité 1,SIO-014,Subject pronouns + ÊTRE,"Conjugate être across 8 persons; m/f agreement (étudiant/étudiante, étudiants/étudiantes)",1.04,14 cards — English sentence + person label (e.g. 'I am a student (m) — 1st sg'),"[m] Je suis étudiant. [f] Je suis étudiante.
[m] Tu es étudiant. [f] Tu es étudiante.
[m] Il est étudiant. [f] Elle est étudiante.
[m] Nous sommes étudiants. [f] Nous sommes étudiantes.
[m] Vous êtes étudiant. [f] Vous êtes étudiante.
[m] Vous êtes étudiants. [f] Vous êtes étudiantes.
[m] Ils sont étudiants. [f] Elles sont étudiantes. + TTS",1: French | 2: English | 3: Person (1st/2nd/3rd) | 4: Singular or Plural | 5: Notes,v1 baskets: 1st/2nd/3rd person · v2 baskets: Singular/Plural,Spoken Production,"I can say who someone is and give basic information about people, making the form agree for gender and number.",Conjugate être in all 8 persons (≥7/8); apply m/f and sg/pl agreement to étudiant(e)(s).
Unité 1,SIO-012,Professions,Name 10 professions in m/f forms; use il est / elle est and C'est un/une ___,1.02,emoji + English,"Il est journaliste ; Elle est journaliste
Il est styliste ; Elle est styliste
Il est artiste ; Elle est artiste
Il est architecte ; Elle est architecte
Il est chef ; Elle est cheffe.
Il est acteur ; Elle est actrice.
Il est joueur de tennis ; Elle est joueuse de tennis.
Il est nageur ; Elle est nageuse
Il est chanteur ; Elle est chanteuse
Il est étudiant ; Elle est étudiante","1. emoji
2. French
3. Englishj
4. Rewrite: C'est un/une ___  
5. notes",2 baskets: un / une,Spoken Production,I can say what job someone has.,Name 10 professions in m/f forms; present a person with il est/elle est or C'est un/une ___ (≥8/10).
Unité 1,SIO-013,School subjects — les matières,Name academic subjects with correct article; ask Qu'est-ce que tu étudies? / Je suis étudiant(e) en ___,1.03,"emoji + English
Qu'est-ce que vous étudiez ?
Vous êtes étudiant en quoi ?","J'étudie ___ 
Je suis étudiant(e) en ___",emoji·eng·art·fr,Baskets: le / la / l' / les,Spoken Interaction,I can say and ask what someone is studying.,Name academic subjects with the correct article; answer Qu'est-ce que tu étudies ? with Je suis étudiant(e) en ___.
Unité 1,SIO-015,Countries,"Name and identify 25 countries with correct article (le, la, l', les, ∅); ask C'est quel pays?",1.05,25 cards — flag + 'C'est quel pays ?',"🇫🇷 C'est quel pays ? → Le pays, c'est la France.
🇵🇹 C'est quel pays ? → Le pays, c'est le Portugal.
🇨🇳 C'est quel pays ? → Le pays, c'est la Chine.
🇮🇩 C'est quel pays ? → Le pays, c'est l'Indonésie.
🇰🇷 C'est quel pays ? → Le pays, c'est la Corée.
🇺🇸 C'est quel pays ? → Le pays, c'est les États-Unis.
🇲🇽 C'est quel pays ? → Le pays, c'est le Mexique.
🇨🇺 C'est quel pays ? → Le pays, c'est Cuba.
🇵🇭 C'est quel pays ? → Le pays, c'est les Philippines.
🇦🇷 C'est quel pays ? → Le pays, c'est l'Argentine.
🇷🇺 C'est quel pays ? → Le pays, c'est la Russie.
🇨🇭 C'est quel pays ? → Le pays, c'est la Suisse.
🇧🇪 C'est quel pays ? → Le pays, c'est la Belgique.
🇬🇷 C'est quel pays ? → Le pays, c'est la Grèce.
🇹🇷 C'est quel pays ? → Le pays, c'est la Turquie.
🇩🇪 C'est quel pays ? → Le pays, c'est l'Allemagne.
🇰🇭 C'est quel pays ? → Le pays, c'est le Cambodge.
🇸🇬 C'est quel pays ? → Le pays, c'est Singapour.
🇲🇾 C'est quel pays ? → Le pays, c'est la Malaisie.
🇹🇭 C'est quel pays ? → Le pays, c'est la Thaïlande.
🏴󠁧󠁢󠁥󠁮󠁧󠁿 C'est quel pays ? → Le pays, c'est l'Angleterre.
🇬🇧 C'est quel pays ? → Le pays, c'est la Grande-Bretagne.
🇹🇳 C'est quel pays ? → Le pays, c'est la Tunisie.
🇲🇦 C'est quel pays ? → Le pays, c'est le Maroc.
🇩🇿 C'est quel pays ? → Le pays, c'est l'Algérie.","1: Flag | 2: English | 3: Article | 4: French name | 5: Notes

# | Flag | French | English | Article
1 | 🇫🇷 | France | France | la
2 | 🇵🇹 | Portugal | Portugal | le
3 | 🇨🇳 | Chine | China | la
4 | 🇮🇩 | Indonésie | Indonesia | l'
5 | 🇰🇷 | Corée | Korea | la
6 | 🇺🇸 | États-Unis | United States | les
7 | 🇲🇽 | Mexique | Mexico | le
8 | 🇨🇺 | Cuba | Cuba | ∅
9 | 🇵🇭 | Philippines | Philippines | les
10 | 🇦🇷 | Argentine | Argentina | l'
11 | 🇷🇺 | Russie | Russia | la
12 | 🇨🇭 | Suisse | Switzerland | la
13 | 🇧🇪 | Belgique | Belgium | la
14 | 🇬🇷 | Grèce | Greece | la
15 | 🇹🇷 | Turquie | Turkey | la
16 | 🇩🇪 | Allemagne | Germany | l'
17 | 🇰🇭 | Cambodge | Cambodia | le
18 | 🇸🇬 | Singapour | Singapore | ∅
19 | 🇲🇾 | Malaisie | Malaysia | la
20 | 🇹🇭 | Thaïlande | Thailand | la
21 | 🏴󠁧󠁢󠁥󠁮󠁧󠁿 | Angleterre | England | l'
22 | 🇬🇧 | Grande-Bretagne | Great Britain | la
23 | 🇹🇳 | Tunisie | Tunisia | la
24 | 🇲🇦 | Maroc | Morocco | le
25 | 🇩🇿 | Algérie | Algeria | l'","Matching (not Letris): 25 pairs — flag + C'est quel pays ? ↔ Le pays, c'est… + country with article. Article reference: ∅ (2) · le (4) · la (12) · l' (5) · les (2).",Spoken Production,I can name countries with the correct article and ask which country something is.,Label 25 countries with le/la/l'/les/∅ (≥20/25); ask C'est quel pays ?
Unité 1,SIO-016,Nationalities,"Produce nationality adjectives in 4 forms (m.sg, f.sg, m.pl, f.pl) for 25 countries; link country → nationality",1.06,25 cards — flag + country + 'Et les habitants ?' + m.sg ending highlighted,"🇫🇷 France → il est français · elle est française · ils sont français · elles sont françaises
🇵🇹 Portugal → il est portugais · elle est portugaise · ils sont portugais · elles sont portugaises
🇨🇳 Chine → il est chinois · elle est chinoise · ils sont chinois · elles sont chinoises
🇮🇩 Indonésie → il est indonésien · elle est indonésienne · ils sont indonésiens · elles sont indonésiennes
🇰🇷 Corée → il est coréen · elle est coréenne · ils sont coréens · elles sont coréennes
🇺🇸 États-Unis → il est américain · elle est américaine · ils sont américains · elles sont américaines
🇲🇽 Mexique → il est mexicain · elle est mexicaine · ils sont mexicains · elles sont mexicaines
🇨🇺 Cuba → il est cubain · elle est cubaine · ils sont cubains · elles sont cubaines
🇵🇭 Philippines → il est philippin · elle est philippine · ils sont philippins · elles sont philippines
🇦🇷 Argentine → il est argentin · elle est argentine · ils sont argentins · elles sont argentines
🇷🇺 Russie → il est russe · elle est russe · ils sont russes · elles sont russes
🇨🇭 Suisse → il est suisse · elle est suisse · ils sont suisses · elles sont suisses
🇧🇪 Belgique → il est belge · elle est belge · ils sont belges · elles sont belges
🇬🇷 Grèce → il est grec · elle est grecque · ils sont grecs · elles sont grecques
🇹🇷 Turquie → il est turc · elle est turque · ils sont turcs · elles sont turques
🇩🇪 Allemagne → il est allemand · elle est allemande · ils sont allemands · elles sont allemandes
🇰🇭 Cambodge → il est cambodgien · elle est cambodgienne · ils sont cambodgiens · elles sont cambodgiennes
🇸🇬 Singapour → il est singapourien · elle est singapourienne · ils sont singapouriens · elles sont singapouriennes
🇲🇾 Malaisie → il est malaisien · elle est malaisienne · ils sont malaisiens · elles sont malaisiennes
🇹🇭 Thaïlande → il est thaïlandais · elle est thaïlandaise · ils sont thaïlandais · elles sont thaïlandaises
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Angleterre → il est anglais · elle est anglaise · ils sont anglais · elles sont anglaises
🇬🇧 Grande-Bretagne → il est britannique · elle est britannique · ils sont britanniques · elles sont britanniques
🇹🇳 Tunisie → il est tunisien · elle est tunisienne · ils sont tunisiens · elles sont tunisiennes
🇲🇦 Maroc → il est marocain · elle est marocaine · ils sont marocains · elles sont marocaines
🇩🇿 Algérie → il est algérien · elle est algérienne · ils sont algériens · elles sont algériennes","1: Flag | 2: Country | 3: m.sg | 4: f.sg | 5: m.pl | 6: f.pl

# | Flag | Country | m.sg | f.sg | m.pl | f.pl
1 | 🇫🇷 | France | français | française | français | françaises
2 | 🇵🇹 | Portugal | portugais | portugaise | portugais | portugaises
3 | 🇨🇳 | Chine | chinois | chinoise | chinois | chinoises
4 | 🇮🇩 | Indonésie | indonésien | indonésienne | indonésiens | indonésiennes
5 | 🇰🇷 | Corée | coréen | coréenne | coréens | coréennes
6 | 🇺🇸 | États-Unis | américain | américaine | américains | américaines
7 | 🇲🇽 | Mexique | mexicain | mexicaine | mexicains | mexicaines
8 | 🇨🇺 | Cuba | cubain | cubaine | cubains | cubaines
9 | 🇵🇭 | Philippines | philippin | philippine | philippins | philippines
10 | 🇦🇷 | Argentine | argentin | argentine | argentins | argentines
11 | 🇷🇺 | Russie | russe | russe | russes | russes
12 | 🇨🇭 | Suisse | suisse | suisse | suisses | suisses
13 | 🇧🇪 | Belgique | belge | belge | belges | belges
14 | 🇬🇷 | Grèce | grec | grecque | grecs | grecques
15 | 🇹🇷 | Turquie | turc | turque | turcs | turques
16 | 🇩🇪 | Allemagne | allemand | allemande | allemands | allemandes
17 | 🇰🇭 | Cambodge | cambodgien | cambodgienne | cambodgiens | cambodgiennes
18 | 🇸🇬 | Singapour | singapourien | singapourienne | singapouriens | singapouriennes
19 | 🇲🇾 | Malaisie | malaisien | malaisienne | malaisiens | malaisiennes
20 | 🇹🇭 | Thaïlande | thaïlandais | thaïlandaise | thaïlandais | thaïlandaises
21 | 🏴󠁧󠁢󠁥󠁮󠁧󠁿 | Angleterre | anglais | anglaise | anglais | anglaises
22 | 🇬🇧 | Grande-Bretagne | britannique | britannique | britanniques | britanniques
23 | 🇹🇳 | Tunisie | tunisien | tunisienne | tunisiens | tunisiennes
24 | 🇲🇦 | Maroc | marocain | marocaine | marocains | marocaines
25 | 🇩🇿 | Algérie | algérien | algérienne | algériens | algériennes",Matching (not Letris): 25 pairs — flag + country ↔ 4 nationality forms (il est / elle est / ils sont / elles sont). Optional flip: m.sg front → 4 forms back.,Spoken Production,"I can say what nationality someone is, using the correct form.",Produce all 4 nationality forms for each of 25 countries; match country → nationality (≥20/25).
Unité 1,SIO-017,Languages,Name languages linked to 25 countries; use on parle ___,1.07,"25 cards — flag + 'C'est quel pays ? Ici, on parle ____.'","🇫🇷 France → on parle le français
🇵🇹 Portugal → on parle le portugais
🇨🇳 Chine → on parle le chinois
🇮🇩 Indonésie → on parle l'indonésien
🇰🇷 Corée → on parle le coréen
🇺🇸 États-Unis → on parle l'anglais
🇲🇽 Mexique → on parle l'espagnol
🇨🇺 Cuba → on parle l'espagnol
🇵🇭 Philippines → on parle le filipino et l'anglais
🇦🇷 Argentine → on parle l'espagnol
🇷🇺 Russie → on parle le russe
🇨🇭 Suisse → on parle le français, l'allemand et l'italien
🇧🇪 Belgique → on parle le français et le néerlandais
🇬🇷 Grèce → on parle le grec
🇹🇷 Turquie → on parle le turc
🇩🇪 Allemagne → on parle l'allemand
🇰🇭 Cambodge → on parle le khmer
🇸🇬 Singapour → on parle l'anglais, le malais et le mandarin
🇲🇾 Malaisie → on parle le malais
🇹🇭 Thaïlande → on parle le thaï
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Angleterre → on parle l'anglais
🇬🇧 Grande-Bretagne → on parle l'anglais
🇹🇳 Tunisie → on parle l'arabe et le français
🇲🇦 Maroc → on parle l'arabe et le français
🇩🇿 Algérie → on parle l'arabe et le français","1: Flag | 2: Country | 3: Language(s)

# | Flag | Country | Language(s)
1 | 🇫🇷 | France | le français
2 | 🇵🇹 | Portugal | le portugais
3 | 🇨🇳 | Chine | le chinois
4 | 🇮🇩 | Indonésie | l'indonésien
5 | 🇰🇷 | Corée | le coréen
6 | 🇺🇸 | États-Unis | l'anglais
7 | 🇲🇽 | Mexique | l'espagnol
8 | 🇨🇺 | Cuba | l'espagnol
9 | 🇵🇭 | Philippines | le filipino et l'anglais
10 | 🇦🇷 | Argentine | l'espagnol
11 | 🇷🇺 | Russie | le russe
12 | 🇨🇭 | Suisse | le français, l'allemand et l'italien
13 | 🇧🇪 | Belgique | le français et le néerlandais
14 | 🇬🇷 | Grèce | le grec
15 | 🇹🇷 | Turquie | le turc
16 | 🇩🇪 | Allemagne | l'allemand
17 | 🇰🇭 | Cambodge | le khmer
18 | 🇸🇬 | Singapour | l'anglais, le malais et le mandarin
19 | 🇲🇾 | Malaisie | le malais
20 | 🇹🇭 | Thaïlande | le thaï
21 | 🏴󠁧󠁢󠁥󠁮󠁧󠁿 | Angleterre | l'anglais
22 | 🇬🇧 | Grande-Bretagne | l'anglais
23 | 🇹🇳 | Tunisie | l'arabe et le français
24 | 🇲🇦 | Maroc | l'arabe et le français
25 | 🇩🇿 | Algérie | l'arabe et le français",Matching (not Letris): 25 pairs — flag + country ↔ language(s) (on parle…).,Spoken Production,I can say which language(s) are spoken in a given country.,Match each of 25 countries to its language(s) (≥20/25).
Unité 1,SIO-018,Numbers 20–69,"Read/say 20–69; recognise 6 tens; produce composites (21,31…69) with et un where applicable",1.08,"24 cards — numeral only
17 cards (recap 0,11–19) + 5 cards (20,30,40,50,60) + 1 card (21,31,41,51,61) + 1 pattern card",Spelled-out words (e.g. vingt / trente et un / soixante et un),1: Numeral | 2: In words | 3: Feature (tens/et un/composite) | 4: Notes,No baskets — falling spelled words; user types the numeral,Spoken Interaction,"I can understand and say numbers from 20 to 69 in simple exchanges (ages, prices, quantities).",Read aloud any number 20–69; identify the 6 tens; build composites 21–69 with et un where required (≥90%).
Unité 1,SIO-019,Avoir — age & states,"Conjugate avoir; express age (J'ai ___ ans) and states (faim, soif, chaud, froid); distinguish être (triste, fatigué, content) vs avoir; affirmative and negative forms",1.09,12 cards of short text,"- J'ai faim. Tu n'as pas faim? - Non, mais j'ai soif. - Vous avez soif? - Non. nous n'avons pas soif. Nous avons faim, - Il a chaud? - Non, Il n'a pas chaud: Il a froid. - Ils ont froid? - Non, Ils n'ont pas chaud: ils ont froid. - Vous êtes tristes? - Non, nous ne sommes pas tristes: nous sommes fatigués. - Elles sont contentes ? - Oui, elles ne ont pas tristes. - Tu as quel âge? - Moi, j'ai 20 ans. - Vous avez quel âge? - Lui, il a 21 ans et moi, j'ai 22 ans. - Elle n'a pas 18 ans? Elle a quel âge ? - In'est pas professeur : il est étudiant. - Je ne suis pas français; je suis singapourien(ne). - Elle a combien d'enfants ? - Elle a deux enfants.","17 lines in the Overview:

1. French column

Tu as faim.
J'ai faim aussi.
Vous avez soif?
Il a chaud
Ils ont froid
Vous êtes tristes
Nous sommes fatigués
Elles sont contentes
Tu as quel âge
Vous avez quel âge
J'ai 20 ans
Il a 21 ans.
Elle a quel âge
Il est étudiant
Nous ne sommes pas français.
Je suis singapourien(ne)
Elle a deux enfants.

2. English
3. Negative versions
4. être or avoir
5. notes",2 baskets: ÊTRE / AVOIR,Spoken Interaction,"I can say my age and how I feel, in the affirmative and the negative.",Conjugate avoir (≥7/8); give age (J'ai ___ ans); express the 4 states; sort 6 states into être vs avoir (≥5/6); produce affirmative and negative forms.
Unité 1,SIO-020,Mini-text: present a country,"Write 3–4 sentences presenting a francophone country (name, location, language, one cultural fact)",1.10,,,,⛔ Production task — no flashcard,Written Production,"I can write a few simple sentences about a francophone country I know, if I can prepare.","Write 3–4 comprehensible sentences with all 4 elements present (name, location, language, one cultural fact)."
Unité 2,SIO-021,Everyday objects — c'est un… / ce sont des…,Identify and present objects/people using c'est + un/une + N and ce sont + des + N; ask C'est quoi ?,2.01,~10 cards — image or emoji (e.g. 📱 / 📚 / 🎒),"C'est un ___ / C'est une ___ / Ce sont des ___
(e.g. C'est un téléphone. / Ce sont des livres.)",1: Image | 2: French phrase | 3: English | 4: Article | 5: Notes,3 baskets: un / une / des,Spoken Production,I can point out and name objects and people and ask what something is.,"Present ≥6 of the 14 items (un sac, un livre, un cahier, un téléphone, un stylo, un crayon, un passeport, une carte d'identité, une trousse, des ciseaux, une gomme, un portefeuille, des lunettes, une clé) with c'est + un/une and ce sont + des; ask C'est quoi ?"
Unité 2,SIO-023,"Leisure activities — j'aime, j'adore",Express likes using aimer + definite article + N (J'aime le cinéma) and aimer + infinitive (J'aime lire); conjugate across all persons,2.03,~8 cards — English cue (e.g. 'I like reading' / 'She likes sport'),"French sentence with aimer
(e.g. J'aime lire. / Elle aime le sport. / Nous aimons la musique.)",1: French phrase | 2: English | 3: Structure: aimer + N or + inf. | 4: Notes,No baskets — focus on sentence pattern,Spoken Production,I can say what things and activities I like.,Conjugate aimer in all persons; produce aimer + definite article + N and aimer + infinitive (≥2 each).
Unité 2,SIO-024,faire + article contraction,"Say what one does using faire + du/de la/de l'/des; produce the correct article contraction (faire du sport, faire de la natation, faire de l'équitation, faire des randonnées)",2.04,~10 cards — activity emoji (e.g. ⚽ / 🏊 / 🚴 / 🎭),"faire + article contraction + activity
(e.g. faire du sport / faire de la natation / faire de l'équitation / faire des randonnées)",1: Emoji | 2: French phrase | 3: English | 4: Article contraction | 5: Notes,4 baskets: du / de la / de l' / des,Spoken Production,I can say what sports and activities I do.,Produce faire + du/de la/de l'/des with the correct contraction for ≥6 activities (≥80%).
Unité 2,SIO-026,aller + article contraction,"Say where one goes using aller + au/à la/à l'/aux; correct article contraction (aller au cinéma, à la plage, à l'école, aux magasins)",2.06,~10 cards — place emoji + English (e.g. 🎬 cinema / 🏖️ beach / 🏫 school / 🛒 shops),"Je vais + article contraction + place
(e.g. Je vais au cinéma. / Elle va à la plage. / Ils vont aux magasins.)",1: Emoji | 2: French phrase | 3: English | 4: Article contraction (au/à la/à l'/aux) | 5: Notes,4 baskets: au / à la / à l' / aux,Spoken Production,I can say where I go.,Produce aller + au/à la/à l'/aux with the correct contraction for ≥6 destinations (≥80%).
Unité 2,SIO-022,Possessives,"Use possessive adjectives mon/ma/mes, ton/ta/tes, son/sa/ses, notre/votre/leur/leurs; apply correct form based on gender and number of the noun (not the owner)",2.02,"~12 cards — English prompt with gender/number hint
(e.g. 'my book (m)' / 'your keys (pl)' / 'his sister (f)')","French possessive + noun
(e.g. mon livre / tes clés / sa sœur / notre classe / leurs amis)",1: French phrase | 2: English | 3: Owner (1st/2nd/3rd person) | 4: Gender/number of noun | 5: Form used | 6: Notes,"3 baskets: mon·ma·mes / ton·ta·tes / son·sa·ses
(A1 focus: 1st–3rd sg; notre/votre/leur as extension)",Spoken Production,I can say what belongs to me and to others.,"Select the correct possessive (mon/ma/mes … son/sa/ses, + notre/votre/leur) by the noun's gender/number for ≥8 prompts (≥80%)."
