Unit,SIO #,Topic,Short (<=14),Goal shape,Primary focus,Secondary focus,Can-Do (A2),SIO Description,Flashcard Set,CEFR Mode,Linguistic competence (measurable),Collection id,Book section,Lexique sets (books),Chunks & frames (books),Box on page,Phonetics on page,Manuel pp.
Unité 6,SIO-061,The five senses and nature,Five senses,drill,vocab,production,"I can describe what I see, hear, smell, taste and touch in a place or experience.",Lexique: Les 5 sens · La nature,6.01,,,,Situation 1 — Décrire une sensation,"Les 5 sens + verb pairs (le goût→goûter, l'odorat→sentir, l'ouïe→écouter/entendre, le toucher→toucher, la vue→regarder/voir); La nature; une odeur, une saveur, des sons/bruits",« se mettre dans la peau de… » · « apprendre à se servir de nos sens »,WORD-REL Les synonymes (un animal = une bête; utiliser / les renseignements / une forêt) | CONJ S'asseoir,Les consonnes [s] et [z],"88–89, 98"
Unité 6,SIO-062,The superlative,Superlatives,drill,grammar,vocab,"I can identify and compare the most, least, best and worst examples within a group.",Grammaire: Le superlatif,6.02,,,,Situation 2 — Donner une appréciation,,Le plus difficile est de… · C'est la meilleure façon de…,"GRAM Le superlatif (+ irréguliers bon → le meilleur, mauvais → le pire)",,"89, 98"
Unité 6,SIO-063,Art and culture — appreciation,Art & culture,drill,vocab,phrases,"I can describe and give a simple appreciation of an artwork, performance or cultural experience.",Lexique: L'art et la culture · Des adjectifs pour apprécier,6.03,,,,Situation 2 — Donner une appréciation,"L'art et la culture (9); Des adjectifs pour apprécier (9); appréciations négatives: le dégoût, le désintérêt, la déception",Donner un avis / une appréciation (Mémo): À mon avis… · Je pense que… · Je trouve que… · C'est génial ! · Pour moi… · Bof ! · Je n'ai pas vraiment aimé · Je suis déçu(e); HARVESTED discourse connectors (p.90): D'abord… Ensuite… Autre atout… Enfin…,,,"90–91, 98–99"
Unité 6,SIO-064,"Interrogative pronouns lequel, laquelle, lesquels, lesquelles",Lequel ?,drill,grammar,phrases,I can ask and answer which one or ones someone prefers when the choices are already known.,Grammaire: Les pronoms interrogatifs lequel…,6.04,,,,Situation 2 — Donner une appréciation,,"Tu as préféré lequel / laquelle / lesquels ? · « Parmi ces appréciations, lesquelles… ? »",GRAM Les pronoms interrogatifs lequel…,"Les voyelles [ə], [e] et [a]","91, 98"
Unité 6,SIO-065,Identifying and expressing emotions,Emotions,drill,vocab,production,I can identify an emotion from a situation and say how an experience makes me feel.,Lexique: Les émotions,6.05,,,,Situation 3 — Identifier une émotion,"Les émotions (8): la joie, la tristesse, la colère, la surprise, le dégoût, le désintérêt, la déception, la peur",GLOSSES (Aide à la lecture p.92): sainement · prendre soin de quelqu'un · méditer · récemment; imperative advice frames from Document 1: Prends le temps de… · Bouge ton corps ! · Mange sainement ! · Ferme les yeux,,,"92–93, 98"
Unité 6,SIO-066,"Adverbs in -ment, -amment and -emment",Adverbs -ment,drill,grammar,vocab,I can form and use common manner adverbs to describe how an action is performed or experienced.,"Grammaire: Les adverbes en -ment, -amment, -emment",6.06,,,,Situation 3 — Identifier une émotion,,"attentivement · récemment · suffisamment · vraiment, précisément, profondément",GRAM Les adverbes en -ment / -emment / -amment,,"93, 98"
Unité 6,SIO-067,Buying an artwork or decorative object,Buying art,model,production,phrases,"I can handle a purchase by explaining what I want, asking about price and payment, choosing an item and completing the transaction.",Atelier (transaction),6.07,,,,Atelier 1 — Acheter une œuvre,,Acheter (Mémo): Je voudrais / souhaiterais acheter… · Est-ce que vous auriez… ? · Je peux payer par carte bancaire / par chèque / en espèces ? · Je voudrais une facture. · Nous avons un budget précis,,,"96, 99"
Unité 6,SIO-068,Giving advice by email,Advice e-mail,model,production,phrases,"I can write a friendly, organised email that gives several practical suggestions and links them clearly.",Communication: Conseiller,6.08,,,,Atelier 2 — Conseiller par mail,,Conseiller (Mémo): Je te / vous conseille de… · Il faut… · Il est utile / inutile de… · Tu devrais… · Tu pourrais… · Ce serait mieux de…,,,"97, 99"
Unité 6,SIO-069,Sound-podcast cultural project,Soundscape,brief,production,vocab,I can record and introduce a short soundscape and explain the sensations or emotions it creates.,Projet culturel,6.09,,,,Lab' Langue & Culture — Enregistrer un balado sonore,,(Projet culturel — brief),,,95
Unité 6,SIO-070,Three days of well-being — collaborative mission,Well-being,brief,production,,"I can compare ideas, ask for advice and negotiate a three-day cultural and well-being programme with a group.",Mission,6.10,,,,Mission — C'est trop beau… pour être vrai !,,(Mission — brief),,,99
Unité 7,SIO-071,"Fashion, appearance and change",Fashion & look,drill,vocab,production,I can describe a change in style or appearance and explain what changed and why.,Lexique: La mode,7.01,,,,Situation 1 — Parler d'un changement,"La mode; L'accessoire (la coiffure, une tresse, un tatouage, un henné, le maquillage, un bijou); Parler d'un changement (changer de style / de voie, remettre au goût du jour, transformer, devenir, grandir)",« changer de style / de voie » · « remettre au goût du jour » · « proposer une vision de… »,"WORD-REL Les antonymes (long ≠ court, vieille ≠ jeune; futur / moderne / déçu)",La liaison,"102–103, 112"
Unité 7,SIO-072,Passé composé and imparfait in a past narrative,PC / imparfait,drill,grammar,production,I can distinguish background description and ongoing circumstances from completed events when recounting a change or story.,Grammaire: Passé composé et imparfait dans un récit au passé,7.02,,,,Situation 1 — Parler d'un changement,,"HARVESTED (On coopère p.103): Un jour… · toujours · soudain · finalement; « Avant, j'étudiais… Mais j'ai toujours aimé… Alors, j'ai décidé de… »",GRAM Passé composé et imparfait dans un récit au passé,,"103, 112"
Unité 7,SIO-073,Family and family relationships,Family,drill,vocab,production,I can describe family relationships and use a family tree or other clues to explain how people are related.,Lexique: La famille · Retrouver,7.03,,,,Situation 2 — Retrouver sa famille,"La famille (un membre de la famille, un(e) cousin(e), un arbre généalogique, être marié(e) ≠ divorcé(e), le PACS/se pacser, tenir de qqn, ressembler à qqn); Retrouver (se donner des nouvelles, se souvenir, se rappeler, replonger dans le passé, identifier, un héritage → hériter)",« Comme disait mon grand-père… »,"CONJ Quelques participes passés — offrir→offert, connaître→connu, grandir→grandi","Les voyelles [i], [e] et [ɛ]","104–105, 112"
Unité 7,SIO-074,Cause and consequence,"Cause, effect",drill,grammar,phrases,I can explain why something happened and state its result using a range of simple cause-and-consequence links.,Grammaire: La cause et la conséquence,7.04,,,,Situation 2 — Retrouver sa famille,,"C'est grâce à… · parce que… · donc · Alors, … · C'est pourquoi… · Ça leur a fait plaisir",GRAM La cause et la conséquence,,"105, 112"
Unité 7,SIO-075,"Objects, accessories and sentimental value",Keepsakes,drill,vocab,production,I can identify and describe an object precisely and explain where it came from and why it matters to someone.,Lexique: Des objets et des accessoires · Décrire un objet,7.05,,,,Situation 3 — Raconter son histoire,"Des objets et des accessoires; Décrire un objet (la taille, la forme, coloré(e), personnalisé(e), ancien(ne), en bronze / soie / porcelaine / bois, précieux(euse), c'est très utile pour…)",« C'est quoi ? C'est à qui ? Ça sert à quoi ? » (p.107),,,"106–107, 112"
Unité 7,SIO-076,"Indefinite quantities — quelques, chaque, tous, plusieurs","Quelques, tous",drill,grammar,,"I can refer to an exact or non-exact number of people, objects or occasions with the appropriate indefinite quantity word.","Grammaire: Les indéfinis de quantité quelques, chaque, tous, plusieurs",7.06,,,,Situation 3 — Raconter son histoire,,"Aucun(e) · Chaque · Quelques · Plusieurs · Tout(e), tou(te)s","GRAM Les indéfinis de quantité; also « Je n'ai ni jardin ni balcon » (ni… ni, p.107)",,"107, 112"
Unité 7,SIO-077,Giving and asking for news,Giving news,drill,phrases,production,"I can reopen contact, ask after someone and their family, respond with news, and close the exchange naturally.",Communication: Prendre / donner des nouvelles,7.07,,,,Atelier 1 — Donner et prendre des nouvelles,,Prendre des nouvelles (Mémo): Vous allez bien ? · Comment ça va ? · Tu vas mieux ? · Qu'est-ce que tu deviens ? · Je t'appelle pour prendre de tes nouvelles. | Donner des nouvelles: J'ai une bonne/mauvaise nouvelle · Je suis toujours… · Je suis en congé · J'ai eu un accident · Elle va mieux · Il est guéri,,,"110, 113"
Unité 7,SIO-078,Telling a structured story,Tell a story,model,production,phrases,"I can recount a short personal or family story in chronological order, using time markers and appropriate past tenses.",Atelier (narrative),7.08,,,,Atelier 2 — Raconter une histoire,,"Raconter une histoire (Mémo): Il était une fois… · C'était en… · Un jour, le lendemain, la veille · Au début · Ensuite, puis, finalement · Alors, donc, ainsi · Soudain",,,"111, 113"
Unité 7,SIO-079,Family recipe for happiness — cultural project,Family recipe,brief,production,vocab,"I can gather and present a family saying, custom or 'recipe for happiness' and explain its significance.",Projet culturel,7.09,,,,Lab' Langue & Culture — Partager la recette du bonheur,,(Projet culturel — brief),,,109
Unité 7,SIO-080,Our family has secrets — collaborative mission,Family secrets,brief,production,,I can combine clues with a group to invent and present a coherent family history or secret.,Mission,7.10,,,,Mission — Comme disait mon grand-père… notre famille aussi a ses secrets !,,(Mission — brief),,,113
Unité 8,SIO-081,Services and commitments,Rendre service,drill,vocab,production,"I can offer, request and respond to a practical service and say what I am willing to do for others.",Lexique: Rendre service · S'engager,8.01,,,,Situation 1 — Rendre service,"Rendre service (aider gracieusement, faire une action généreuse, ouvrir sa porte, proposer ses services, créer du lien social); S'engager (un service civique, un volontaire, participer à…, avoir l'occasion de…, une mission, un partenariat, être au service de…)",Verb government drill (p.116): ouvrir sa porte À quelqu'un · représenter quelqu'un · proposer des services À quelqu'un,,Les consonnes [t] et [d],"116–117, 126"
Unité 8,SIO-082,Imperative with indirect-object pronouns,Lui / leur,drill,grammar,phrases,I can give instructions or encouragement with an imperative and replace the recipient with lui or leur when appropriate.,Grammaire: L'impératif et les pronoms indirects,8.02,,,,Situation 1 — Rendre service,,Rendez-vous service · Posez-lui des questions · Présentez-lui votre CV · Parle-lui !,GRAM L'impératif et les pronoms indirects | CONJ Rendre,,"117, 126"
Unité 8,SIO-083,Improving a home,Improving home,drill,vocab,production,"I can describe a problem in a home and propose changes to its rooms, furniture, equipment or decoration.",Lexique: Améliorer un logement,8.03,,,,Situation 2 — Améliorer un logement,"Améliorer un logement (rénover/une rénovation, bricoler/le bricolage, un chantier, faire des travaux, aménager, isoler, ventiler une pièce, un bâtiment basse consommation); Écologie/travaux sort (volets, chauffage, transformation)",« avantages et inconvénients » discussion frames (p.119),,"Les consonnes [p], [b], [f] et [v]","118–119, 126"
Unité 8,SIO-084,Expressing purpose with pour and afin de,Pour / afin de,drill,grammar,phrases,I can explain the purpose of an action or home improvement using pour or afin de followed by an infinitive.,"Grammaire: Le but avec afin de, pour",8.04,,,,Situation 2 — Améliorer un logement,,pour + infinitif · afin de + infinitif; « un pot de peinture jaune POUR repeindre le mur »,GRAM L'expression du but,,"119, 126"
Unité 8,SIO-085,Conditions and wishes with si and the conditional,Si + wishes,drill,grammar,production,"I can imagine a different situation, state a condition, and explain what I would do or like as a result.",Grammaire: La condition et le conditionnel avec si,8.05,,,,Situation 3 — Exprimer un souhait,,"Si + présent + futur (Si j'ai de l'argent, j'achèterai…) · Si + imparfait + conditionnel (Si j'étais plus jeune, je ferais…); HARVESTED (p.121): « Si tu veux atteindre le niveau A2, tu devras… » · « Si nous étions à ta place, nous… »",GRAM La condition et l'hypothèse,,"120–121, 126"
Unité 8,SIO-086,Housing and household objects,Housing,drill,vocab,production,"I can describe and compare accommodation by type, location, size, rooms, facilities and household objects.",Lexique: Le logement · Des objets de la maison,8.06,,,,Situation 3 — Exprimer un souhait,"Le logement (l'habitat, un locataire, un propriétaire, une salle de bains, une cuisine, un salon, un bureau, un parking, une chambre); Des objets de la maison (un micro-ondes, des fenêtres, des volets, des rangements, une douche, un canapé convertible, un tiroir, le chauffage, un mur, un escalier)",,,,"118–119, 126"
Unité 8,SIO-087,Administrative procedures,Admin steps,drill,vocab,phrases,I can identify a common administrative service and explain the main steps or documents needed for a simple procedure.,Lexique: Faire des démarches administratives,8.07,,,,Situation 3 — Exprimer un souhait,"Faire des démarches administratives (accéder à un service, donner accès à…, parvenir à…, contacter un notaire, rédiger un testament, hériter, recevoir un héritage, engager un détective)",HARVESTED (p.121): « À quelle administration s'adresser ? » · Je souhaite renouveler un visa / ouvrir un compte / chercher une personne / rédiger un testament,WORD-REL Les abréviations (Tél. · h · CV · av. · Ex. · min · s),,"117, 121, 126"
Unité 8,SIO-088,Expressing dissatisfaction,Complaining,model,production,phrases,"I can make a complaint, explain what went wrong and press for an appropriate response while showing dissatisfaction clearly.",Communication: Exprimer son mécontentement,8.08,,,,Atelier 1 — Exprimer son mécontentement,,Exprimer son mécontentement (Mémo): C'est n'importe quoi ! · Ce n'est pas normal ! · J'en ai assez ! J'en ai marre ! · Ça m'énerve ! · C'est insupportable ! · Ce n'est pas possible !,,,"124, 127"
Unité 8,SIO-089,Recommending accommodation,Review a place,model,production,phrases,I can write a concise accommodation review that evaluates key features and clearly recommends or advises against the place.,Atelier (written review),8.09,,,,Atelier 2 — Recommander un logement,,Recommander un logement (Mémo): Je recommande fortement ce logement. · Je conseille vivement. · L'équipement est complet. · La chambre est propre. · Il ne manque rien. · Je reviendrai avec plaisir. · Vous pouvez y aller les yeux fermés !,,,"125, 127"
Unité 8,SIO-090,Renovating a community building — collaborative mission,Renovation,brief,production,,"I can propose, sketch and defend a plan for renovating a building to meet a community's needs and wishes.",Mission,8.10,,,,Mission — Si vous voulez bien… rénover ce bâtiment !,,(Mission — brief),,,127
